Publication Year,Author,Title,image,URL,LM,EM,DOI,analysis,proofreading,segmentation,acquisition,alignment,Executable,Dataset,Github,Publication Title
2022,University G. M.:,neuromorpgo.org,neuromorpho.png, http://neuromorpho.org/,yes,yes,,,,,,,no,no,no,
2020,"Schneider-Mizell C. M., Bodor A. L., Collman F., Brittain D., Bleckert A. A., Dorkenwald S., Turner N. L., Macrina T., Lee K., Lu R., Wu J., Zhuang et al.
","Chandelier cell anatomy and function
reveal a variably distributed but common signal.",chandelier_cells.png,https://www.biorxiv.org/content/10.1101/2020.03.31.018952v1,no,yes,,,,,,,no,yes,no,
2021,"Dorkenwald S., Turner N. L., Macrina T., Lee K., Lu R., Wu J., Bodor A. L., Bleckert A. A., Brittain D., Kemnitz N., Silversmith W. M., Ih D., Zung J., et al.","Binary and analog variation
of synapses between cortical pyramidal neurons.",binary.png,https://www.biorxiv.org/content/10.1101/2019.12.29.890319v2,no,yes,,,,,,,no,yes,no,
2016,"Bloss, E. B.; Cembrowski, M.S.; Karsh, B.; Colonell, J.; Fetter, R. D.; Spruston, N.;",Structured dendritic inhibition supports branch-selective integration in CA1 pyramidal cells.,ca1_pyramdial_cells.png,https://doi.org/10.1016/j.neuron.2016.01.029,no,yes,,,,,,,no,yes,no,
2014,"Weiler, N.; Collman, Forrest; Vogelstein, J; Burns, R; Smith, S. J.",Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex array tomography.,synaptic_molecular.png,http://www.nature.com/articles/sdata201446,yes,no,,,,,,,no,yes,no,
2020,"Usher, Will; Pascucci, Valerio",Interactive Visualization of Terascale Data in the Browser: Fact or Fiction?,terascale_browser.png,https://ieeexplore.ieee.org/document/9308044/,no,no,10.1109/LDAV51489.2020.00010,Spatial-Exploration,,,,,no,no,no,2020 IEEE 10th Symposium on Large Data Analysis and Visualization (LDAV)
2018,"Hadwiger, Markus; Al-Awami, Ali; Beyer, Johanna; Agus, Marco; Pfister, Hanspeter",SparseLeap: Efficient Empty Space Skipping for Large-Scale Volume Rendering,sparse_leap.png,https://ieeexplore.ieee.org/document/8017589/,no,no,10.1109/TVCG.2017.2744238,Spatial-Exploration,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2016,"Al-Awami, Ali; Beyer, Johanna; Haehn, Daniel; Kasthuri, Narayanan; Lichtman, Jeff W.; Pfister, Hanspeter; Hadwiger, Markus",NeuroBlocks – Visual Tracking of Segmentation and Proofreading for Large Connectomics Projects,neuroblocks.png,http://ieeexplore.ieee.org/document/7192653/,no,yes,10.1109/TVCG.2015.2467441,,,Provenance-Tracking,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2012,"Wan, Yong; Otsuna, Hideo; Chien, Chi-Bin; Hansen, Charles",FluoRender: An Application of 2D Image Space Methods for 3D and 4D Confocal Microscopy Data Visualization in Neurobiology Research,fluo_render.png,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3622106/,yes,no,,Spatial-Exploration,,,,,no,no,yes,IEEE Pacific Visualisation Symposium
2017,"Wan, Yong; Otsuna, Hideo; Holman, Holly A.; Bagley, Brig; Ito, Masayoshi; Lewis, A. Kelsey; Colasanto, Mary; Kardon, Gabrielle; Ito, Kei; Hansen, Charles",FluoRender: joint freehand segmentation and visualization for many-channel fluorescence data analysis,fluo_render_2.png,https://doi.org/10.1186/s12859-017-1694-9,yes,no,10.1186/s12859-017-1694-9,Spatial-Exploration,,,,,no,no,yes,BMC Bioinformatics
2018,"Usher, Will; Klacansky, Pavol; Federer, Frederick; Bremer, Peer-Timo; Knoll, Aaron; Yarch, Jeff; Angelucci, Alessandra; Pascucci, Valerio",A Virtual Reality Visualization Tool for Neuron Tracing,vr_neuron_tracing.png,,yes,no,10.1109/TVCG.2017.2744079,,,Interactive,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2021,"McDonald, Torin; Usher, Will; Morrical, Nate; Gyulassy, Attila; Petruzza, Steve; Federer, Frederick; Angelucci, Alessandra; Pascucci, Valerio",Improving the Usability of Virtual Reality Neuron Tracing with Topological Elements,vr_tracing_topology.png,,yes,no,10.1109/TVCG.2020.3030363,,,Interactive,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2012,"Seung, Sebastian",EyeWire,eyewire.png,http://eyewire.org,no,yes,,,Crowedsourced,,,,no,no,no,
2021,"Lindow, Norbert; Brünig, Florian N.; Dercksen, Vincent J.; Fabig, Gunar; Kiewisz, Robert; Redemann, Stefanie; Müller-Reichert, Thomas; Prohaska, Steffen; Baum, Daniel",Semi-automatic stitching of filamentous structures in image stacks from serial-section electron tomography,semi-automatic-stitching.png,,no,yes,10.1111/jmi.13039,,,,,3D-Registration,no,no,no,Journal of Microscopy
2009,"Bruckner, Stefan; Solteszova, Veronika; Groller, Eduard; Hladuvka, Jiri; Buhler, Katja; Yu, Jai Y.; Dickson, Barry J.",BrainGazer - Visual queries for neurobiology research,braingazer.png,,yes,no,10.1109/TVCG.2009.121,Vis-focused-Analysis,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2021,"Gonda, F.; Wang, X.; Beyer, J.; Hadwiger, M.; Lichtman, J.W.; Pfister, H.",VICE: Visual Identification and Correction of Neural Circuit Errors,vice.png,https://arxiv.org/abs/2105.06861,no,yes,,,Guided-Automatic,,,,no,no,no,"Computer Graphics Forum (Proceedings Eurographics/IEEE Symposium on Visualization, Eurovis 2021"
2018,"Berger, D.; Seung, H. S.; Lichtman, Jeff W.",VAST (Volume Annotation and Segmentation Tool): Efficient Manual and Semi-Automatic Labeling of Large 3D Image Stacks,vast.png,https://www.frontiersin.org/articles/10.3389/fncir.2018.00088/full,yes,yes,10.3389/fncir.2018.00088,,Manual,Interactive,,,yes,no,no,Frontiers in Neural Circuits
2012,"Cardona, A.; Saalfeld, S.; Schindelin, J.; Arganda-Carreras, I.; Preibisch, S.; Longair, M.; Tomancak, P.; Hartenstein, V.; Douglas, R.J.",TrakEM2 Software for Neural Circuit Reconstruction,trakem2.png,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038011,no,yes,10.1371/journal.pone.0038011,,,Interactive,,3D-Registration,no,no,yes,PLoS One
2013,"Sorger, J.; Bühler, K.; Schulze, F.; Liu, T.; Dickson, B.",neuroMAP — Interactive graph-visualization of the fruit fly's neural circuit,neuromap.png,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6664349,yes,no,10.1109/BioVis.2013.6664349,Connectivity-Exploration,,,,,no,no,no,IEEE Symposium on Biological Data Visualization (BioVis)
2019,"Agus, M.; Calì, C.; Al‐Awami, A.; Gobbetti, E.; Magistretti, P.; Hadwiger, M.",Interactive Volumetric Visual Analysis of Glycogen-derived Energy Absorption in Nanometric Brain Structures,energy_absorption.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13700,no,yes,https://doi.org/10.1111/cgf.13700,Vis-focused-Analysis,,,,,no,no,no,Computer Graphics Forum
2011,"Sommer, C.; Straehle, C.; Köthe, U.; Hamprecht, F. A.",Ilastik: Interactive learning and segmentation toolkit,illastik.png,,no,no,10.1109/ISBI.2011.5872394,,,Interactive,,,no,no,yes,IEEE International Symposium on Biomedical Imaging: From Nano to Macro
2018,"Haehn, D.; Kaynig, V.; Tompkin, J.; Lichtman, J.W.; Pfister, H.",Guided proofreading of automatic segmentations for connectomics,guided_proofreading.png,https://arxiv.org/abs/1704.00848v1,no,yes,,,Guided-Automatic,,,,no,no,no,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
